"name","house_url","price","district","developer","class","building","flat","parking","technology","height","yard","floor","otdelka","min_area","building_rate","height_norm","aream_norm","flat_rate"
"ЖК Dolce Vita Residence","www.dolcevita-residence.kz","4,00E+05","Наурызбайский р-н","Ал-Афи Лимитед",1,6,190,1,2,3.2,1,3,4,84,3.6719298245614,0.342857142857143,0.283333333333333,1.20952380952381
"ЖК Весна","www.vesnadom.kz","420000","Алмалинский р-н","KazInvestEngineering",3,1,187,1,3,2.7,2,12,2,34,3.17201426024955,0.2,0.075,0.858333333333333
"ЖК Асыл Тобе","www.sales.bi-group.org","354000","Бостандыкский р-н","BI Group",3,1,140,1,3,2.7,1,12,2,82,3.67380952380952,0.2,0.275,1.05833333333333
"ЖК Дом на Гагарина","www.domnagagarina.kz","532000","Бостандыкский р-н","KazBuild Development",3,1,120,1,3,2.7,2,13,3,43,3.175,0.2,0.1125,0.72275641025641
"ЖК Chocolate","www.sales.bi-group.org","391000","Медеуский р-н","BI Group",3,1,91,1,3,3,1,17,3,44,3.67765567765568,0.285714285714286,0.116666666666667,0.79453781512605
"ЖК Melide",NA,"421000","Бостандыкский р-н","Alen Stroy",3,1,12,1,3,3.2,1,3,4,93,3.75,0.342857142857143,0.320833333333333,1.24702380952381
"ЖК Престиж","www.prestizhdom.kz","410000","Бостандыкский р-н","Есентай Строй",2,1,360,1,3,3,NA,10,4,53,2.83611111111111,0.285714285714286,0.154166666666667,0.789880952380952
"ЖК R-House","www.r-house.ak.kz","450000","Бостандыкский р-н","AK Construction",2,1,160,1,3,2.95,1,17,2,39,3.83958333333333,0.271428571428571,0.0958333333333333,0.92608543417367
"ЖК Forum Plus","www.forumplus.kz","465000","Бостандыкский р-н","Рамс Казахстан",2,1,144,1,3,2.8,1,9,2,35,3.84027777777778,0.228571428571428,0.0791666666666667,0.918849206349206
"ЖК Есентай","www.esentai-apartments.kz","533600","Бостандыкский р-н","АХЭКО",2,1,125,1,3,3,1,11,2,74,3.84133333333333,0.285714285714286,0.241666666666667,1.11829004329004
"ЖК Алатау","www.alatau-ags.kz","4,00E+05","Бостандыкский р-н","Алматыгорстрой",2,1,114,1,3,2.8,2,13,2,69,3.3421052631579,0.228571428571428,0.220833333333333,1.02632783882784
"КД Абай",NA,"585000","Бостандыкский р-н","Тастай Девелопмент",2,1,70,1,3,3.2,NA,9,2,38,2.84761904761905,0.342857142857143,0.0916666666666667,1.04563492063492
"МЖК по ул. Исаева 125","www.ЖК","365000","Алмалинский р-н","София Строй",2,1,65,1,3,2.8,1,9,2,85,3.84871794871795,0.228571428571428,0.2875,1.12718253968254
